,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2018/03,6,1,0,42,8,4,16,21,14,32,53,19,7,9,7,9,27,3,8,12,6,16,26,45,8,19,33,16,30,25,9,16,27,20,24,19,67,54,12,12,14,4,9,7,20,18,30,55,23,0,0,16,38,0,0,14,8,9,16,22,16,53,4,0,33,21,16,36,41,3,0,28,0,0,51,1,4,58,0,0,57,0,46,23,0,8,12,15,21,20,9,9,12,11,14,9,47,57,39,42,34,27,25,16,18,0
2018/04,11,4,0,36,13,4,19,19,9,24,41,27,14,14,7,10,30,4,12,11,10,16,30,47,14,22,24,23,36,23,11,12,36,18,16,21,41,48,5,7,7,9,10,7,9,12,24,51,29,4,1,12,42,0,0,7,8,11,12,12,22,38,4,0,31,15,12,35,37,2,1,34,0,0,42,1,7,50,0,0,72,0,70,12,0,24,13,16,23,18,8,8,12,14,16,3,45,48,46,52,29,27,13,10,19,0
2018/05,2,3,0,39,11,4,21,17,9,14,45,34,7,14,9,5,31,6,20,12,6,17,35,44,16,20,53,24,28,39,8,9,22,18,27,14,41,49,12,14,7,11,9,10,18,10,35,62,35,1,0,10,43,0,0,15,10,8,10,22,28,43,0,0,40,22,17,44,36,6,0,22,0,0,46,0,14,62,0,0,67,0,56,10,0,25,14,11,23,32,11,9,8,11,15,7,39,60,36,51,40,28,26,16,22,0
2018/06,4,5,0,38,7,5,22,25,5,11,54,16,5,12,7,1,21,4,10,16,11,24,34,43,7,8,19,19,30,24,9,11,43,18,21,18,53,28,9,20,6,16,11,13,16,19,31,53,26,0,0,8,28,0,0,10,11,2,5,19,17,29,1,0,49,18,20,35,44,1,0,27,0,0,38,0,10,46,0,0,56,0,59,9,0,8,9,9,19,24,14,14,16,9,14,5,38,64,55,38,33,24,15,21,20,0
2018/07,2,3,0,33,8,6,17,23,10,11,46,12,6,10,5,4,12,5,12,12,2,13,28,37,11,10,29,16,35,25,11,12,24,11,21,8,22,38,4,15,9,4,6,10,16,20,30,42,25,2,0,12,35,0,0,9,10,6,5,14,19,26,1,0,44,18,14,49,31,2,0,21,0,0,33,0,1,46,0,0,65,0,54,11,0,17,12,12,17,14,6,14,11,12,9,7,46,63,56,44,25,22,16,40,37,0
2018/08,10,7,0,38,18,11,15,30,4,18,56,18,5,6,23,7,22,13,13,8,2,10,27,43,15,16,22,20,28,29,13,6,24,10,17,9,37,36,9,9,7,7,11,15,29,9,32,50,19,1,1,14,33,1,0,14,4,11,8,15,23,40,3,0,56,15,16,42,31,1,0,19,0,2,38,0,6,58,0,0,43,0,58,17,0,22,15,8,18,19,15,10,11,12,8,3,37,52,51,42,20,23,18,47,46,1
2018/09,3,0,0,30,10,7,14,21,8,21,45,22,7,9,9,11,21,8,9,7,3,10,17,35,8,17,28,18,30,22,7,11,22,16,9,14,25,37,4,10,5,2,9,10,13,7,25,40,15,1,0,8,24,1,0,7,8,6,9,12,34,38,2,0,31,15,17,24,18,2,3,15,0,0,29,2,2,44,0,0,60,0,56,19,0,13,21,7,17,24,9,9,11,10,11,7,31,38,48,41,18,18,17,45,49,0
2018/10,6,3,0,41,4,5,16,19,4,26,56,25,13,7,12,8,18,7,8,13,9,12,23,51,18,14,28,31,27,28,9,13,32,14,15,9,50,38,7,17,7,7,7,14,18,13,28,49,23,1,0,8,29,0,0,7,6,9,8,19,11,48,3,0,41,24,13,41,33,4,0,24,0,1,34,1,6,53,0,0,48,1,56,20,0,15,8,8,16,25,5,11,5,13,10,3,35,28,50,40,32,23,18,42,34,0
2018/11,1,1,0,54,2,2,9,17,12,33,40,22,11,9,9,8,20,6,11,9,7,11,26,37,10,22,37,32,27,25,11,17,35,10,18,13,29,41,10,7,5,7,9,20,30,18,34,68,26,2,0,15,23,0,0,9,7,9,3,21,19,43,2,0,37,17,13,20,22,2,1,16,0,0,31,0,9,33,0,0,56,0,53,11,0,15,21,11,23,25,8,7,17,15,8,4,39,47,52,44,27,31,18,55,28,0
2018/12,5,3,0,28,22,9,15,28,12,30,62,30,7,14,8,9,27,9,14,9,6,21,26,43,21,27,34,19,28,31,11,15,25,16,14,12,46,43,6,18,11,12,8,20,18,17,28,45,24,1,0,11,40,0,0,10,6,7,9,22,17,40,2,0,39,21,18,42,29,4,0,16,0,0,40,0,10,37,0,0,59,0,75,15,0,18,23,5,19,30,10,6,8,4,5,7,48,35,63,33,20,39,20,61,43,0
2019/01,3,5,0,39,20,11,12,25,10,23,36,19,10,6,14,5,7,3,12,7,4,11,21,51,8,15,27,17,29,27,26,11,23,18,29,9,44,60,6,13,4,8,13,15,16,16,26,48,30,0,0,9,23,0,0,8,8,9,7,17,14,29,2,0,40,13,16,34,20,3,2,22,0,0,23,1,4,46,0,0,38,0,43,2,0,10,7,10,9,25,11,9,10,9,8,7,33,27,39,31,21,21,16,38,27,0
2019/02,1,2,0,19,7,1,9,19,10,23,26,20,9,5,8,3,13,4,9,14,7,5,26,29,7,11,16,14,21,30,27,8,20,9,17,15,43,36,5,18,4,4,4,11,12,11,17,29,26,3,0,8,18,0,0,3,1,3,9,7,19,27,1,0,26,9,13,24,24,1,0,16,0,0,29,0,0,42,0,0,41,0,43,0,0,13,6,10,7,25,10,6,7,10,5,8,20,32,37,22,20,21,13,29,32,0
2019/03,4,3,0,37,14,4,23,39,16,30,44,21,5,6,10,10,13,5,7,9,9,19,38,59,12,16,38,22,32,32,25,13,26,19,20,25,47,51,9,23,8,4,10,17,20,17,37,49,22,1,0,11,31,0,0,2,6,4,10,18,9,53,2,0,48,26,17,46,13,6,1,22,0,0,39,1,1,64,0,0,67,0,72,5,0,15,12,12,24,29,16,10,11,21,11,14,32,41,57,47,20,22,16,47,41,0
2019/04,5,3,0,35,11,7,12,15,10,12,48,21,9,9,7,5,14,11,11,8,4,15,23,40,9,15,29,21,28,24,36,9,31,21,19,20,40,48,8,22,11,12,7,15,15,10,24,38,27,1,0,3,21,0,0,7,6,5,7,16,19,26,3,0,35,10,16,36,16,6,0,16,0,0,29,0,3,55,0,0,45,0,68,7,0,21,13,10,18,16,17,11,11,20,14,4,44,39,44,46,12,24,17,51,39,0
2019/05,3,2,0,19,11,4,9,17,15,19,46,35,15,4,7,5,11,7,7,6,9,12,19,38,17,15,36,22,33,32,26,19,25,16,17,16,37,30,8,14,7,6,9,14,23,16,22,42,23,1,0,9,23,0,0,3,3,4,9,9,11,34,0,0,47,15,18,31,14,1,0,30,0,0,35,1,8,68,0,0,63,0,62,5,0,14,14,8,22,30,12,14,15,20,8,8,64,40,57,34,21,19,20,62,43,0
2019/06,1,3,0,38,8,5,10,14,8,28,50,18,5,11,11,15,15,8,9,12,3,16,24,37,13,15,28,12,19,37,24,16,28,13,20,16,54,49,5,25,4,3,15,15,18,17,19,44,22,4,0,5,16,0,0,4,7,7,8,18,22,28,1,0,43,13,21,39,29,2,1,22,0,1,39,1,5,55,0,0,54,0,62,4,0,17,11,13,18,26,11,6,8,6,14,14,38,39,42,49,25,18,15,54,33,0
2019/07,1,1,0,24,7,1,11,20,10,21,49,13,12,10,10,7,14,8,10,18,6,7,22,27,5,6,18,22,28,28,24,13,32,16,23,18,38,39,10,15,2,1,7,13,13,13,29,44,22,1,0,4,26,0,0,6,5,11,8,11,10,31,3,0,47,18,12,34,25,6,2,22,0,0,27,1,5,54,0,0,53,0,52,3,0,9,8,11,21,19,8,14,14,18,14,7,28,27,45,30,26,24,14,49,41,0
2019/08,0,2,0,34,8,3,7,11,9,18,30,12,10,6,11,6,17,10,10,11,3,6,25,45,19,16,26,18,28,36,38,10,33,17,10,18,49,39,4,30,2,1,6,11,15,13,34,43,14,1,0,7,22,0,0,5,3,4,14,7,21,23,2,0,49,15,21,31,24,3,0,9,0,0,28,2,7,52,0,0,58,0,60,5,0,14,21,14,10,23,16,11,13,15,10,9,26,31,65,34,27,21,14,51,33,0
2019/09,1,1,0,33,7,2,7,13,12,25,39,16,9,8,4,8,14,2,6,5,2,7,14,34,13,19,39,23,26,31,29,16,25,11,15,20,44,34,7,20,7,4,13,18,17,19,21,45,21,1,0,1,23,0,0,4,4,8,10,11,22,28,2,0,35,12,16,38,16,1,0,10,0,0,28,1,4,54,0,0,59,0,51,5,0,14,8,13,9,27,19,15,8,10,11,8,25,38,54,27,21,17,14,44,35,0
2019/10,1,1,0,28,6,5,7,15,4,19,29,16,7,10,8,4,15,8,10,5,4,11,10,39,13,10,33,13,26,18,17,16,27,5,19,22,35,48,0,23,5,4,11,10,19,15,33,29,15,0,0,1,15,0,0,2,6,6,13,11,11,19,0,0,45,16,8,29,30,2,0,12,0,0,20,2,1,44,0,0,46,0,44,0,0,13,14,8,14,18,21,5,11,12,9,4,26,28,44,29,17,22,8,40,32,0
2019/11,0,2,0,23,7,3,6,11,6,17,38,32,11,8,3,5,19,1,14,7,2,8,7,28,7,12,27,15,25,40,29,18,46,7,20,19,39,40,6,17,14,2,11,13,13,15,32,46,15,1,0,2,8,0,0,4,7,9,10,7,11,23,0,0,50,10,18,41,12,1,0,13,0,0,30,0,1,58,0,0,49,0,64,0,0,19,11,8,33,20,13,6,8,16,11,11,25,21,58,39,13,29,11,52,42,0
2019/12,4,1,0,32,13,2,12,4,7,18,31,25,11,3,7,6,12,4,5,3,5,9,10,38,15,12,23,19,32,17,11,17,21,9,23,16,35,37,6,15,11,15,11,16,25,20,36,56,24,2,0,5,20,0,0,3,2,5,6,16,9,21,0,0,49,15,15,39,25,0,1,5,0,0,30,3,7,64,0,0,55,0,66,6,0,22,12,14,24,16,14,7,9,10,12,8,25,29,59,44,16,31,11,53,46,0
